Recipe Name,Ingredients,Cuisine,Meal Type,Calories,Macros,Sides 
Bhindi Masala,"okra (8 pieces) (Others), onion (1 medium) (Vegetables), tomato (1 medium) (Vegetables), garlic (2 cloves) (Spices), spice (1 tsp) (Others)",Pakistani,Lunch,300,"Protein: 22.5g, Carbs: 37.5g, Fat: 6.7g",1/2 Roti
Haleem,"beef (1 unit) (Protein), wheat (1 unit) (Grains), lentil (1 unit) (Protein), spice (1 tsp) (Others), fried onion (1 unit) (Vegetables)",Pakistani,Dinner,600,"Protein: 45.0g, Carbs: 75.0g, Fat: 13.3g",None
Kofta Curry,"ground beef (1 unit) (Protein), spice (1 tsp) (Others), onion (1 medium) (Vegetables), tomato (1 medium) (Vegetables), yogurt (2 tbsp) (Dairy)",Pakistani,Dinner,470,"Protein: 35.2g, Carbs: 58.8g, Fat: 10.4g",1/2 Roti
Palak Paneer,"spinach (1 cup) (Vegetables), paneer (1 unit) (Protein), tomato (1 medium) (Vegetables), spice (1 tsp) (Others)",Pakistani,Lunch,390,"Protein: 29.2g, Carbs: 48.8g, Fat: 8.7g",None
Chana Chaat,"chickpea (50g) (Vegetables), potato (1 unit) (Vegetables), onion (1 medium) (Vegetables), tomato (1 medium) (Vegetables), spice (1 tsp) (Others), tamarind (1 unit) (Others)",Pakistani,Lunch,280,"Protein: 21.0g, Carbs: 35.0g, Fat: 6.2g",None
Beef Seekh Kebab,"beef (1 unit) (Protein), onion (1 medium) (Vegetables), garlic (2 cloves) (Spices), chili (1 unit) (Spices), spice (1 tsp) (Others)",Pakistani,Dinner,420,"Protein: 31.5g, Carbs: 52.5g, Fat: 9.3g",1/2 Roti
Panzanella,"bread (1 unit) (Grains), tomato (1 medium) (Vegetables), cucumber (1 unit) (Vegetables), onion (1 medium) (Vegetables), olive oil (1 unit) (Condiments), vinegar (1 unit) (Sauces)",Italian,Lunch,350,"Protein: 26.2g, Carbs: 43.8g, Fat: 7.8g",None
Frittata,"egg (1 unit) (Protein), cheese (30g) (Dairy), vegetable (1 unit) (Others), olive oil (1 unit) (Condiments)",Italian,Breakfast,330,"Protein: 24.8g, Carbs: 41.2g, Fat: 7.3g",None
Tortellini Alfredo,"tortellini (1 unit) (Pasta), cream (2 tbsp) (Dairy), parmesan (20g) (Herbs), garlic (2 cloves) (Spices)",Italian,Dinner,460,"Protein: 34.5g, Carbs: 57.5g, Fat: 10.2g",None
Italian Sausage Pasta,"pasta (1 unit) (Pasta), italian sausage (1 unit) (Protein), tomato sauce (1 unit) (Sauces), onion (1 medium) (Vegetables), garlic (2 cloves) (Spices)",Italian,Dinner,500,"Protein: 37.5g, Carbs: 62.5g, Fat: 11.1g",None
Eggplant Lasagna,"eggplant (1 unit) (Vegetables), ricotta (1 unit) (Others), mozzarella (40g) (Others), marinara (1 unit) (Sauces), parmesan (20g) (Herbs)",Italian,Dinner,470,"Protein: 35.2g, Carbs: 58.8g, Fat: 10.4g",None
Ricotta Pancakes,"ricotta (1 unit) (Others), egg (1 unit) (Protein), flour (1/2 cup) (Grains), sugar (1 tbsp) (Sugars), lemon zest (1 unit) (Others)",Italian,Breakfast,390,"Protein: 29.2g, Carbs: 48.8g, Fat: 8.7g",None
Cheeseburger,"beef patty (1 unit) (Protein), cheese (30g) (Dairy), bun (1 unit) (Others), lettuce (2 leaves) (Others), tomato (1 medium) (Vegetables)",American,Lunch,540,"Protein: 40.5g, Carbs: 67.5g, Fat: 12.0g",None
Stuffed Peppers,"bell pepper (1 small) (Vegetables), ground beef (1 unit) (Protein), rice (100g) (Grains), tomato sauce (1 unit) (Sauces)",American,Dinner,440,"Protein: 33.0g, Carbs: 55.0g, Fat: 9.8g",None
Blueberry Muffins,"flour (1/2 cup) (Grains), sugar (1 tbsp) (Sugars), blueberry (5 pcs) (Fruits), egg (1 large) (Protein), milk (1 cup) (Dairy)",American,Breakfast,320,"Protein: 24.0g, Carbs: 40.0g, Fat: 7.1g",None
Tuna Salad Sandwich,"tuna (1 unit) (Protein), mayo (1 unit) (Sauces), celery (1 unit) (Vegetables), bread (1 unit) (Grains)",American,Lunch,350,"Protein: 26.2g, Carbs: 43.8g, Fat: 7.8g",None
French Toast,"bread (1 unit) (Grains), egg (1 large) (Protein), milk (1 cup) (Dairy), cinnamon (1/4 tsp) (Spices), syrup (1 unit) (Spices)",American,Breakfast,390,"Protein: 29.2g, Carbs: 48.8g, Fat: 8.7g",None
Potato Salad,"potato (1 medium) (Vegetables), mayo (1 unit) (Sauces), mustard (1 unit) (Sauces), egg (1 large) (Protein), onion (1 medium) (Vegetables)",American,Lunch,370,"Protein: 27.8g, Carbs: 46.2g, Fat: 8.2g",None
Shrimp and Grits,"shrimp (3 pieces) (Protein), grit (1 unit) (Others), butter (1 tbsp) (Dairy), garlic (2 cloves) (Spices), cheese (30g) (Dairy)",American,Dinner,460,"Protein: 34.5g, Carbs: 57.5g, Fat: 10.2g",None
Kadhi Pakora,"gram flour (1 unit) (Grains), yogurt (2 tbsp) (Dairy), spice (1 tsp) (Others), onion (1 medium) (Vegetables), oil (1 tbsp) (Spices)",Pakistani,Lunch,450,"Protein: 33.8g, Carbs: 56.2g, Fat: 10.0g",Half plate boiled rice
Murgh Cholay,"chicken (150g) (Protein), chickpea (50g) (Vegetables), tomato (1 medium) (Vegetables), spice (1 tsp) (Others)",Pakistani,Lunch,490,"Protein: 36.8g, Carbs: 61.2g, Fat: 10.9g",1/2 Roti
Baingan Bharta,"eggplant (1 unit) (Vegetables), tomato (1 medium) (Vegetables), onion (1 medium) (Vegetables), spice (1 tsp) (Others)",Pakistani,Dinner,310,"Protein: 23.2g, Carbs: 38.8g, Fat: 6.9g",None
Aloo Baingan,"potato (1 unit) (Vegetables), eggplant (1 unit) (Vegetables), spice (1 tsp) (Others), tomato (1 medium) (Vegetables)",Pakistani,Lunch,370,"Protein: 27.8g, Carbs: 46.2g, Fat: 8.2g",Paratha
Kaleji Fry,"liver (1 unit) (Protein), garlic (2 cloves) (Spices), spice (1 tsp) (Others), onion (1 medium) (Vegetables)",Pakistani,Dinner,450,"Protein: 33.8g, Carbs: 56.2g, Fat: 10.0g",None
Dahi Bhalla,"lentil ball (1 unit) (Others), yogurt (2 tbsp) (Dairy), tamarind sauce (1 unit) (Spices), spice (1 tsp) (Others)",Pakistani,Lunch,280,"Protein: 21.0g, Carbs: 35.0g, Fat: 6.2g",None
Halal BBQ Chicken Wrap,"halal chicken (1 unit) (Protein), tortilla (1 unit) (Grains), lettuce (2 leaves) (Others), bbq sauce (1 unit) (Sauces), tomato (1 medium) (Vegetables)",American,Lunch,420,"Protein: 31.5g, Carbs: 52.5g, Fat: 9.3g",None
Veggie Mac and Cheese,"macaroni (1 unit) (Pasta), cheese (30g) (Dairy), milk (1 cup) (Dairy), broccoli (1 unit) (Vegetables), carrot (1 small) (Vegetables)",American,Lunch,430,"Protein: 32.2g, Carbs: 53.8g, Fat: 9.6g",None
Halal Turkey Sandwich,"halal turkey (1 unit) (Protein), lettuce (2 leaves) (Others), tomato (1 medium) (Vegetables), whole wheat bread (1 unit) (Grains)",American,Lunch,360,"Protein: 27.0g, Carbs: 45.0g, Fat: 8.0g",None
Avocado Egg Toast,"whole grain bread (1 unit) (Grains), egg (1 large) (Protein), avocado (1 unit) (Fruits), chili flake (1 unit) (Spices)",American,Breakfast,350,"Protein: 26.2g, Carbs: 43.8g, Fat: 7.8g",None
Veggie Quesadilla,"tortilla (1 unit) (Grains), cheese (30g) (Dairy), bell pepper (1 small) (Vegetables), onion (1 medium) (Vegetables), mushroom (1 unit) (Others)",American,Breakfast,400,"Protein: 30.0g, Carbs: 50.0g, Fat: 8.9g",None
Sweet Potato Fries,"sweet potato (1 unit) (Vegetables), olive oil (1 unit) (Condiments), paprika (1 unit) (Spices), salt (1/2 tsp) (Spices)",American,Lunch,250,"Protein: 18.8g, Carbs: 31.2g, Fat: 5.6g",None
Halal Grilled Chicken Salad,"halal chicken (1 unit) (Protein), lettuce (2 leaves) (Others), cucumber (1 unit) (Vegetables), dressing (1 unit) (Others)",American,Lunch,370,"Protein: 27.8g, Carbs: 46.2g, Fat: 8.2g",None
Buttermilk Pancakes,"flour (1/2 cup) (Grains), buttermilk (1 unit) (Dairy), egg (1 large) (Protein), baking powder (1 tsp) (Others), syrup (1 unit) (Spices)",American,Breakfast,400,"Protein: 30.0g, Carbs: 50.0g, Fat: 8.9g",None
Baked Halal Chicken Tenders,"halal chicken (1 unit) (Protein), breadcrumb (1 unit) (Grains), egg (1 large) (Protein), olive oil (1 unit) (Condiments)",American,Dinner,380,"Protein: 28.5g, Carbs: 47.5g, Fat: 8.4g",None
Halal Chicken Alfredo,"fettuccine (100g) (Pasta), halal chicken (1 unit) (Protein), cream (2 tbsp) (Dairy), parmesan (20g) (Herbs), garlic (2 cloves) (Spices)",Italian,Dinner,520,"Protein: 39.0g, Carbs: 65.0g, Fat: 11.6g",None
Spinach Ricotta Ravioli,"ravioli (1 unit) (Pasta), spinach (1 cup) (Vegetables), ricotta (1 unit) (Others), tomato sauce (1 unit) (Sauces)",Italian,Dinner,450,"Protein: 33.8g, Carbs: 56.2g, Fat: 10.0g",None
Pasta with Pesto,"pasta (1 unit) (Pasta), basil (5 leaves) (Herbs), pine nut (1 unit) (Nuts), olive oil (1 unit) (Condiments), parmesan (20g) (Herbs)",Italian,Lunch,420,"Protein: 31.5g, Carbs: 52.5g, Fat: 9.3g",None
Vegetarian Lasagna,"lasagna noodle (1 unit) (Others), ricotta (1 unit) (Others), spinach (1 cup) (Vegetables), tomato sauce (1 unit) (Sauces)",Italian,Dinner,500,"Protein: 37.5g, Carbs: 62.5g, Fat: 11.1g",None
Mushroom Risotto,"rice (100g) (Grains), mushroom (1 unit) (Others), garlic (2 cloves) (Spices), parmesan (20g) (Herbs), olive oil (1 unit) (Condiments)",Italian,Dinner,470,"Protein: 35.2g, Carbs: 58.8g, Fat: 10.4g",None
Mozzarella Caprese Sandwich,"mozzarella (40g) (Others), tomato (1 medium) (Vegetables), basil (5 leaves) (Herbs), baguette (1 unit) (Others), olive oil (1 unit) (Condiments)",Italian,Lunch,390,"Protein: 29.2g, Carbs: 48.8g, Fat: 8.7g",None
Vegetable Minestrone,"bean (1 unit) (Legumes), pasta (1 unit) (Pasta), zucchini (1 whole) (Vegetables), carrot (1 small) (Vegetables), tomato broth (1 unit) (Vegetables)",Italian,Lunch,300,"Protein: 22.5g, Carbs: 37.5g, Fat: 6.7g",None
Halal Chicken Parm,"halal chicken (1 unit) (Protein), breadcrumb (1 unit) (Grains), tomato sauce (1 unit) (Sauces), mozzarella (40g) (Others)",Italian,Dinner,490,"Protein: 36.8g, Carbs: 61.2g, Fat: 10.9g",None
Stuffed Zucchini,"zucchini (1 whole) (Vegetables), rice (100g) (Grains), tomato (1 medium) (Vegetables), onion (1 medium) (Vegetables), cheese (30g) (Dairy)",Italian,Dinner,350,"Protein: 26.2g, Carbs: 43.8g, Fat: 7.8g",None
Italian Herb Roasted Potatoes,"potato (1 medium) (Vegetables), rosemary (1 unit) (Herbs), olive oil (1 unit) (Condiments), garlic (2 cloves) (Spices)",Italian,Breakfast,280,"Protein: 21.0g, Carbs: 35.0g, Fat: 6.2g",Half plate boiled rice
Chapli Kebab,"halal beef (1 unit) (Protein), onion (1 medium) (Vegetables), tomato (1 medium) (Vegetables), spice (1 tsp) (Others), flour (1/2 cup) (Grains)",Pakistani,Dinner,470,"Protein: 35.2g, Carbs: 58.8g, Fat: 10.4g",1/2 Roti
Aloo Gobi,"potato (1 unit) (Vegetables), cauliflower (1 unit) (Vegetables), tomato (1 medium) (Vegetables), spice (1 tsp) (Others)",Pakistani,Lunch,370,"Protein: 27.8g, Carbs: 46.2g, Fat: 8.2g",1/2 Roti
Vegetable Biryani,"rice (100g) (Grains), carrot (1 small) (Vegetables), pea (1 unit) (Vegetables), potato (1 unit) (Vegetables), spice (1 tsp) (Others)",Pakistani,Lunch,450,"Protein: 33.8g, Carbs: 56.2g, Fat: 10.0g",None
Methi Chicken,"halal chicken (1 unit) (Protein), fenugreek (1 unit) (Herbs), onion (1 medium) (Vegetables), yogurt (2 tbsp) (Dairy), spice (1 tsp) (Others)",Pakistani,Dinner,480,"Protein: 36.0g, Carbs: 60.0g, Fat: 10.7g",1/2 Roti
Chicken Korma,"halal chicken (1 unit) (Protein), yogurt (2 tbsp) (Dairy), fried onion (1 unit) (Vegetables), spice (1 tsp) (Others)",Pakistani,Dinner,520,"Protein: 39.0g, Carbs: 65.0g, Fat: 11.6g",1/2 Roti
Chana Curry,"chickpea (50g) (Vegetables), onion (1 medium) (Vegetables), tomato (1 medium) (Vegetables), spice (1 tsp) (Others)",Pakistani,Lunch,380,"Protein: 28.5g, Carbs: 47.5g, Fat: 8.4g",1/2 Roti
Besan Chilla,"gram flour (1 unit) (Grains), onion (1 medium) (Vegetables), tomato (1 medium) (Vegetables), chili (1 unit) (Spices), coriander (1 unit) (Spices)",Pakistani,Breakfast,320,"Protein: 24.0g, Carbs: 40.0g, Fat: 7.1g",None
Raita with Cucumber,"yogurt (2 tbsp) (Dairy), cucumber (1 unit) (Vegetables), cumin (1 unit) (Spices), salt (1/2 tsp) (Spices)",Pakistani,Lunch,150,"Protein: 11.2g, Carbs: 18.8g, Fat: 3.3g",None
Halal Chicken Fajita Bowl,"halal chicken (1 unit) (Protein), bell pepper (1 small) (Vegetables), rice (100g) (Grains), onion (1 medium) (Vegetables), spice (1 tsp) (Others)",American,Lunch,480,"Protein: 36.0g, Carbs: 60.0g, Fat: 10.7g",None
Baked Veggie Chips,"zucchini (1 whole) (Vegetables), sweet potato (1 unit) (Vegetables), olive oil (1 unit) (Condiments), salt (1/2 tsp) (Spices)",American,Lunch,200,"Protein: 15.0g, Carbs: 25.0g, Fat: 4.4g",None
Halal Sloppy Joe,"halal beef (1 unit) (Protein), tomato sauce (1 unit) (Sauces), bun (1 unit) (Others), onion (1 medium) (Vegetables)",American,Lunch,450,"Protein: 33.8g, Carbs: 56.2g, Fat: 10.0g",None
Egg Salad Wrap,"boiled egg (1 unit) (Protein), lettuce (2 leaves) (Others), mayo (1 unit) (Sauces), tortilla (1 unit) (Grains)",American,Lunch,380,"Protein: 28.5g, Carbs: 47.5g, Fat: 8.4g",None
Halal Chicken Caesar Salad,"halal chicken (1 unit) (Protein), romaine (1 unit) (Others), parmesan (20g) (Herbs), crouton (1 unit) (Others), dressing (1 unit) (Others)",American,Lunch,390,"Protein: 29.2g, Carbs: 48.8g, Fat: 8.7g",None
Fruit Yogurt Parfait,"yogurt (2 tbsp) (Dairy), berry (1 unit) (Fruits), granola (1 unit) (Others), honey (1 tsp) (Sugars)",American,Breakfast,300,"Protein: 22.5g, Carbs: 37.5g, Fat: 6.7g",None
Oven Baked Chicken Drumsticks,"halal chicken (1 unit) (Protein), spice (1 tsp) (Others), olive oil (1 unit) (Condiments)",American,Dinner,420,"Protein: 31.5g, Carbs: 52.5g, Fat: 9.3g",None
Vegetable Grilled Sandwich,"bread (1 unit) (Grains), tomato (1 medium) (Vegetables), lettuce (2 leaves) (Others), cheese (30g) (Dairy), cucumber (1 unit) (Vegetables)",American,Lunch,360,"Protein: 27.0g, Carbs: 45.0g, Fat: 8.0g",None
Halal Meatball Sub,"halal beef meatball (1 unit) (Protein), bun (1 unit) (Others), tomato sauce (1 unit) (Sauces), cheese (30g) (Dairy)",American,Lunch,510,"Protein: 38.2g, Carbs: 63.8g, Fat: 11.3g",None
Breakfast Burrito,"egg (1 unit) (Protein), halal turkey (1 unit) (Protein), tortilla (1 unit) (Grains), cheese (30g) (Dairy)",American,Breakfast,400,"Protein: 30.0g, Carbs: 50.0g, Fat: 8.9g",None
Loaded Baked Potato,"potato (1 unit) (Vegetables), sour cream (1 unit) (Dairy), halal beef (1 unit) (Protein), cheese (30g) (Dairy), green onion (1 stalk) (Vegetables)",American,Dinner,490,"Protein: 36.8g, Carbs: 61.2g, Fat: 10.9g",None
Baked Oatmeal,"oat (1 unit) (Others), milk (1 cup) (Dairy), banana (1 medium) (Fruits), cinnamon (1/4 tsp) (Spices), honey (1 tsp) (Sugars)",American,Breakfast,350,"Protein: 26.2g, Carbs: 43.8g, Fat: 7.8g",None
Broccoli Cheddar Soup,"broccoli (1 unit) (Vegetables), cheddar cheese (1 unit) (Dairy), milk (1 cup) (Dairy), flour (1/2 cup) (Grains)",American,Lunch,370,"Protein: 27.8g, Carbs: 46.2g, Fat: 8.2g",None
Spaghetti Marinara,"spaghetti (1 unit) (Pasta), tomato sauce (1 unit) (Sauces), basil (5 leaves) (Herbs), olive oil (1 unit) (Condiments)",Italian,Dinner,420,"Protein: 31.5g, Carbs: 52.5g, Fat: 9.3g",
Halal Turkey Lasagna,"lasagna noodle (1 unit) (Others), halal turkey (1 unit) (Protein), tomato sauce (1 unit) (Sauces), cheese (30g) (Dairy)",Italian,Dinner,540,"Protein: 40.5g, Carbs: 67.5g, Fat: 12.0g",None
Pasta e Fagioli,"bean (1 unit) (Legumes), pasta (1 unit) (Pasta), tomato (1 medium) (Vegetables), garlic (2 cloves) (Spices), olive oil (1 unit) (Condiments)",Italian,Lunch,390,"Protein: 29.2g, Carbs: 48.8g, Fat: 8.7g",None
Italian Chickpea Stew,"chickpea (50g) (Vegetables), tomato (1 medium) (Vegetables), spinach (1 cup) (Vegetables), garlic (2 cloves) (Spices), olive oil (1 unit) (Condiments)",Italian,Lunch,360,"Protein: 27.0g, Carbs: 45.0g, Fat: 8.0g",None
Pasta Puttanesca (Vegetarian),"pasta (1 unit) (Pasta), tomato (1 medium) (Vegetables), olive (1 unit) (Spices), caper (1 unit) (Others), garlic (2 cloves) (Spices)",Italian,Dinner,410,"Protein: 30.8g, Carbs: 51.2g, Fat: 9.1g",None
Halal Chicken Gnocchi Bake,"gnocchi (1 unit) (Pasta), halal chicken (1 unit) (Protein), cream (2 tbsp) (Dairy), cheese (30g) (Dairy)",Italian,Dinner,470,"Protein: 35.2g, Carbs: 58.8g, Fat: 10.4g",None
Spinach Cannelloni,"pasta (1 unit) (Pasta), spinach (1 cup) (Vegetables), ricotta (1 unit) (Others), marinara (1 unit) (Sauces), cheese (30g) (Dairy)",Italian,Dinner,490,"Protein: 36.8g, Carbs: 61.2g, Fat: 10.9g",None
Tomato Basil Soup,"tomato (1 medium) (Vegetables), basil (5 leaves) (Herbs), cream (2 tbsp) (Dairy), garlic (2 cloves) (Spices), olive oil (1 unit) (Condiments)",Italian,Lunch,320,"Protein: 24.0g, Carbs: 40.0g, Fat: 7.1g",None
Italian Veggie Wrap,"tortilla (1 unit) (Grains), zucchini (1 whole) (Vegetables), tomato (1 medium) (Vegetables), mozzarella (40g) (Others), pesto (1 unit) (Sauces)",Italian,Lunch,390,"Protein: 29.2g, Carbs: 48.8g, Fat: 8.7g",None
Garlic Parmesan Breadsticks,"bread dough (1 unit) (Grains), garlic (2 cloves) (Spices), parmesan (20g) (Herbs), butter (1 tbsp) (Dairy)",Italian,Breakfast,280,"Protein: 21.0g, Carbs: 35.0g, Fat: 6.2g",None
Eggplant Parmesan Bake,"eggplant (1 unit) (Vegetables), marinara (1 unit) (Sauces), mozzarella (40g) (Others), parmesan (20g) (Herbs)",Italian,Dinner,460,"Protein: 34.5g, Carbs: 57.5g, Fat: 10.2g",None
Halal Meat Ravioli,"ravioli (1 unit) (Pasta), halal ground beef (1 unit) (Protein), tomato sauce (1 unit) (Sauces), cheese (30g) (Dairy)",Italian,Dinner,500,"Protein: 37.5g, Carbs: 62.5g, Fat: 11.1g",None
Italian Roasted Veggies,"zucchini (1 whole) (Vegetables), bell pepper (1 small) (Vegetables), olive oil (1 unit) (Condiments), italian herb (1 unit) (Herbs)",Italian,Dinner,270,"Protein: 20.2g, Carbs: 33.8g, Fat: 6.0g",None
Matar Pulao,"rice (100g) (Grains), green pea (1 unit) (Vegetables), onion (1 medium) (Vegetables), spice (1 tsp) (Others)",Pakistani,Lunch,410,"Protein: 30.8g, Carbs: 51.2g, Fat: 9.1g",None
Daal Tarka,"lentil (1 unit) (Protein), garlic (2 cloves) (Spices), onion (1 medium) (Vegetables), cumin (1 unit) (Spices), ghee (1 unit) (Condiments)",Pakistani,Lunch,390,"Protein: 29.2g, Carbs: 48.8g, Fat: 8.7g",Half plate boiled rice
Anda Curry,"boiled egg (1 unit) (Protein), onion (1 medium) (Vegetables), tomato (1 medium) (Vegetables), spice (1 tsp) (Others)",Pakistani,Dinner,420,"Protein: 31.5g, Carbs: 52.5g, Fat: 9.3g",1/2 Roti
Bhuna Gosht,"halal mutton (1 unit) (Protein), onion (1 medium) (Vegetables), tomato (1 medium) (Vegetables), spice (1 tsp) (Others)",Pakistani,Dinner,530,"Protein: 39.8g, Carbs: 66.2g, Fat: 11.8g",1/2 Roti
Masoor Dal Soup,"red lentil (1 unit) (Protein), garlic (2 cloves) (Spices), tomato (1 medium) (Vegetables), cumin (1 unit) (Spices)",Pakistani,Dinner,330,"Protein: 24.8g, Carbs: 41.2g, Fat: 7.3g",None
Chicken Ginger,"halal chicken (1 unit) (Protein), ginger (1 tsp) (Spices), garlic (2 cloves) (Spices), tomato (1 medium) (Vegetables), green chili (1 unit) (Spices)",Pakistani,Dinner,480,"Protein: 36.0g, Carbs: 60.0g, Fat: 10.7g",1/2 Roti
Aloo Anda,"potato (1 medium) (Vegetables), egg (1 unit) (Protein), onion (1 medium) (Vegetables), tomato (1 medium) (Vegetables), spice (1 tsp) (Others)",Pakistani,Breakfast,440,"Protein: 33.0g, Carbs: 55.0g, Fat: 9.8g",1/2 Roti
Chicken Shashlik,"halal chicken (1 unit) (Protein), bell pepper (1 small) (Vegetables), tomato (1 medium) (Vegetables), skewer (1 unit) (Others), sauce (1 unit) (Spices)",Pakistani,Dinner,450,"Protein: 33.8g, Carbs: 56.2g, Fat: 10.0g",None
Gobi Aloo,"cauliflower (1 unit) (Vegetables), potato (1 unit) (Vegetables), tomato (1 medium) (Vegetables), spice (1 tsp) (Others)",Pakistani,Lunch,390,"Protein: 29.2g, Carbs: 48.8g, Fat: 8.7g",1/2 Roti
Halal Philly Cheesesteak,"halal beef (1 unit) (Protein), bell pepper (1 small) (Vegetables), onion (1 medium) (Vegetables), cheese (30g) (Dairy), hoagie roll (1 unit) (Others)",American,Lunch,520,"Protein: 39.0g, Carbs: 65.0g, Fat: 11.6g",None
Veggie Chili,"bean (1 unit) (Legumes), tomato (1 medium) (Vegetables), onion (1 medium) (Vegetables), bell pepper (1 small) (Vegetables), spice (1 tsp) (Others)",American,Dinner,400,"Protein: 30.0g, Carbs: 50.0g, Fat: 8.9g",None
Halal Turkey Meatballs,"halal turkey (1 unit) (Protein), bread crumb (1 unit) (Grains), egg (1 large) (Protein), spice (1 tsp) (Others), marinara (1 unit) (Sauces)",American,Dinner,460,"Protein: 34.5g, Carbs: 57.5g, Fat: 10.2g",None
Roasted Veggie Bowl,"sweet potato (1 unit) (Vegetables), broccoli (1 unit) (Vegetables), chickpea (50g) (Vegetables), quinoa (1/2 cup) (Grains), olive oil (1 unit) (Condiments)",American,Lunch,380,"Protein: 28.5g, Carbs: 47.5g, Fat: 8.4g",None
Apple Cinnamon Oatmeal,"oat (1 unit) (Others), apple (1 unit) (Fruits), cinnamon (1/4 tsp) (Spices), milk (1 cup) (Dairy), honey (1 tsp) (Sugars)",American,Breakfast,320,"Protein: 24.0g, Carbs: 40.0g, Fat: 7.1g",None
Halal Chicken Nachos,"tortilla chip (1 unit) (Grains), halal chicken (1 unit) (Protein), cheese (30g) (Dairy), jalapeno (1 unit) (Spices), salsa (1 unit) (Sauces)",American,Lunch,480,"Protein: 36.0g, Carbs: 60.0g, Fat: 10.7g",None
Lentil Sliders,"lentil (1 unit) (Protein), bread crumb (1 unit) (Grains), onion (1 medium) (Vegetables), burger bun (1 unit) (Others)",American,Dinner,370,"Protein: 27.8g, Carbs: 46.2g, Fat: 8.2g",None
Halal Chicken Enchiladas,"halal chicken (1 unit) (Protein), tortilla (1 unit) (Grains), cheese (30g) (Dairy), enchilada sauce (1 unit) (Spices)",American,Dinner,510,"Protein: 38.2g, Carbs: 63.8g, Fat: 11.3g",None
Banana Smoothie,"banana (1 medium) (Fruits), milk (1 cup) (Dairy), honey (1 tsp) (Sugars), cinnamon (1/4 tsp) (Spices)",American,Breakfast,220,"Protein: 16.5g, Carbs: 27.5g, Fat: 4.9g",None
Ziti with Tomato Sauce,"ziti pasta (1 unit) (Others), tomato sauce (1 unit) (Sauces), basil (5 leaves) (Herbs), parmesan (20g) (Herbs)",Italian,Dinner,420,"Protein: 31.5g, Carbs: 52.5g, Fat: 9.3g",None
Halal Chicken Pesto Panini,"halal chicken (1 unit) (Protein), pesto (1 unit) (Sauces), tomato (1 medium) (Vegetables), cheese (30g) (Dairy), bread (1 unit) (Grains)",Italian,Lunch,480,"Protein: 36.0g, Carbs: 60.0g, Fat: 10.7g",None
Spinach and Cheese Tortellini,"tortellini (1 unit) (Pasta), spinach (1 cup) (Vegetables), ricotta (1 unit) (Others), tomato sauce (1 unit) (Sauces)",Italian,Dinner,430,"Protein: 32.2g, Carbs: 53.8g, Fat: 9.6g",None
Italian Farro Salad,"farro (1 unit) (Others), tomato (1 medium) (Vegetables), mozzarella (40g) (Others), basil (5 leaves) (Herbs), olive oil (1 unit) (Condiments)",Italian,Lunch,360,"Protein: 27.0g, Carbs: 45.0g, Fat: 8.0g",None
Halal Chicken Pizza,"pizza dough (1 unit) (Others), halal chicken (1 unit) (Protein), tomato sauce (1 unit) (Sauces), mozzarella (40g) (Others)",Italian,Dinner,540,"Protein: 40.5g, Carbs: 67.5g, Fat: 12.0g",None
Bruschetta with Cheese,"bread (1 unit) (Grains), tomato (1 medium) (Vegetables), cheese (30g) (Dairy), basil (5 leaves) (Herbs), olive oil (1 unit) (Condiments)",Italian,Breakfast,300,"Protein: 22.5g, Carbs: 37.5g, Fat: 6.7g",None
Vegetable Polenta Bake,"polenta (1 unit) (Others), zucchini (1 whole) (Vegetables), bell pepper (1 small) (Vegetables), cheese (30g) (Dairy), tomato sauce (1 unit) (Sauces)",Italian,Dinner,390,"Protein: 29.2g, Carbs: 48.8g, Fat: 8.7g",None
Italian Lentil Soup,"lentil (1 unit) (Protein), carrot (1 small) (Vegetables), celery (1 unit) (Vegetables), garlic (2 cloves) (Spices), tomato (1 medium) (Vegetables)",Italian,Lunch,350,"Protein: 26.2g, Carbs: 43.8g, Fat: 7.8g",None
Herbed Garlic Pasta,"pasta (1 unit) (Pasta), garlic (2 cloves) (Spices), olive oil (1 unit) (Condiments), herb (1 unit) (Others), parmesan (20g) (Herbs)",Italian,Dinner,400,"Protein: 30.0g, Carbs: 50.0g, Fat: 8.9g",None
Basil Cream Gnocchi,"gnocchi (1 unit) (Pasta), basil (5 leaves) (Herbs), cream (2 tbsp) (Dairy), garlic (2 cloves) (Spices), parmesan (20g) (Herbs)",Italian,Dinner,460,"Protein: 34.5g, Carbs: 57.5g, Fat: 10.2g",None
Chicken White Karahi,"halal chicken (1 unit) (Protein), cream (2 tbsp) (Dairy), green chili (1 unit) (Spices), spice (1 tsp) (Others)",Pakistani,Dinner,520,"Protein: 39.0g, Carbs: 65.0g, Fat: 11.6g",1/2 Roti
Chana Dal Fry,"split chickpea (1 unit) (Vegetables), tomato (1 medium) (Vegetables), garlic (2 cloves) (Spices), onion (1 medium) (Vegetables), spice (1 tsp) (Others)",Pakistani,Lunch,400,"Protein: 30.0g, Carbs: 50.0g, Fat: 8.9g",1/2 Roti
Chicken Malai Boti,"halal chicken (1 unit) (Protein), cream (2 tbsp) (Dairy), cheese (30g) (Dairy), garlic (2 cloves) (Spices), spice (1 tsp) (Others)",Pakistani,Lunch,470,"Protein: 35.2g, Carbs: 58.8g, Fat: 10.4g",1/2 Roti
